eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 7, 2025","330,061",CR,,138,131,0.95,0,0,0,0,0
"noviembre 21, 2025","291,359",CY,,84,83,0.99,0,0,0,0,0
"noviembre 9, 2025","291,359",KR,,30,26,0.87,0,0,0,0,0
"noviembre 14, 2025","351,212",hn,,1,1,1,0,0,0,0,0
"noviembre 25, 2025","330,061",GP,,2,2,1,0,0,0,0,0
"noviembre 14, 2025","290,997",SI,,5,2,0.4,0,0,0,0,0
"noviembre 13, 2025","290,997",HR,,1,1,1,0,0,0,0,0
"noviembre 18, 2025","290,997",CU,,1,1,1,0,0,0,0,0
"noviembre 16, 2025","290,966",NL,,510,454,0.89,0,0,0,0,0
"noviembre 1, 2025","330,061",NI,,20,6,0.3,0,0,0,0,0
"noviembre 19, 2025","290,564",UY,,341,335,0.98,0,0,0,0,0
"noviembre 1, 2025","291,359",SG,,81,23,0.28,0,0,0,0,0
"noviembre 19, 2025","351,212",LV,,1,1,1,0,0,0,0,0
"noviembre 20, 2025","290,997",AR,,"1,618","1,210",0.75,0,0,0,0,0
"noviembre 26, 2025","291,359",CH,,102,85,0.83,0,0,0,0,0
"noviembre 24, 2025","351,212",GT,,866,369,0.43,0,0,0,0,0
"noviembre 14, 2025","351,212",BG,,59,53,0.9,0,0,0,0,0
"noviembre 16, 2025","290,997",VN,,4,4,1,0,0,0,0,0
"noviembre 6, 2025","291,359",LU,,1,1,1,0,0,0,0,0
"noviembre 15, 2025","290,997",GE,,1,1,1,0,0,0,0,0
"noviembre 2, 2025","290,564",EG,,1,1,1,0,0,0,0,0
